StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q1,Q2,Q2_4_TEXT,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q8,Q14_1,Q14_2,Q14_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q11,Q19,Stimuli_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you agree to participate in this study?,What age range are you in?,Gender: How do you identify? - Selected Choice,Gender: How do you identify? - Prefer to self-describe: - Text,"Are you of Hispanic, Latin, or of Spanish origin?",How would you describe yourself? (Choose all that apply). - Selected Choice,How would you describe yourself? (Choose all that apply). - Other: - Text,Highest level of education completed:,"On average, how many news articles do you read per day?:",I or someone I know has been diagnosed with a mental health condition:,"Indicate whether or not you have ever 
had this experience: - Communicating with a chat bot","Indicate whether or not you have ever 
had this experience: - Creating art with DALL-E","Indicate whether or not you have ever 
had this experience: - Driving a car with smart-assist features",Indicate the degree to which you agree or disagree with each of the following statements: - The article was interesting.,Indicate the degree to which you agree or disagree with each of the following statements: - The article kept my attention.,Indicate the degree to which you agree or disagree with each of the following statements: - I was the intended audience of this article.,Indicate the degree to which you agree or disagree with each of the following statements: - This article provides information that is useful.,Indicate the degree to which you agree or disagree with each of the following statements: - The availability of information about mental wellbeing is sufficient in today’s media climate.,Indicate the degree to which you agree or disagree with each of the following statements: - Mental health issues pose a significant risk to individuals.,Indicate the degree to which you agree or disagree with each of the following statements: - Mental health issues pose a significant risk to society.,Indicate the degree to which you agree or disagree with each of the following statements: - The article provides helpful information for improving mental health.,Indicate the degree to which you agree or disagree with each of the following statements: - The article downplayed the risks associated with mental health.,Indicate the degree to which you agree or disagree with each of the following statements: - The article highlighted risks associated with mental health.,"Indicate the degree to which you agree or disagree with each of the following statements: - After reading this article, I feel I can trust the Williamsburg Gazette’s coverage of mental health issues.",Indicate the degree to which you agree or disagree with each of the following statements: - I trusted the writer of this article.,Indicate the degree to which you agree or disagree with each of the following statements: - The information within the article seemed accurate.,Who wrote the Williamsburg Gazette article you read during this survey?,"Are you participating in this study for extra credit? Choosing ""yes"" will redirect you to a form to claim credit for you class, ""No"" will exit the survey:",Stimuli - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID12""}","{""ImportId"":""QID20""}","{""ImportId"":""BL_4SWSJ8NqBJZaB6e_DO""}"
2022-11-10 09:30:22,2022-11-10 09:34:51,IP Address,108.85.184.144,100,268,True,2022-11-10 09:34:51,R_1hR23THQv3wRMNM,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,Yes,Not Sure,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-10 09:32:33,2022-11-10 09:36:05,IP Address,72.33.2.57,100,212,True,2022-11-10 09:36:06,R_1FJ8CkC8Z8CJOWL,,,,,43.0782,-89.4075,anonymous,EN,"Yes, I agree",18-24,Woman,,Yes,White,,High school or GED,1-2,Yes,Yes,Not Sure,Yes,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-10 09:52:49,2022-11-10 09:55:05,IP Address,72.33.2.59,100,136,True,2022-11-10 09:55:06,R_2E1bVKpf3jM5ZA1,,,,,43.0782,-89.4075,anonymous,EN,"Yes, I agree",18-24,Non-binary / third gender,,No,White,,High school or GED,3+,Yes,Yes,No,No,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-10 09:51:57,2022-11-10 09:55:06,IP Address,72.33.2.115,100,188,True,2022-11-10 09:55:06,R_R7U65HB2EsraFRD,,,,,43.0782,-89.4075,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,Yes,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-10 11:15:33,2022-11-10 11:18:53,IP Address,72.133.161.66,100,199,True,2022-11-10 11:18:53,R_8wtSGkbWmwe6sVj,,,,,42.5313,-87.8853,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,0,Yes,Yes,Yes,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-10 11:19:03,2022-11-10 11:22:32,IP Address,98.161.146.123,100,208,True,2022-11-10 11:22:32,R_2xGdZhIwOYcKqLG,,,,,33.438,-111.7118,anonymous,EN,"Yes, I agree",18-24,Woman,,Yes,"Asian,White",,Bachelors or 4 yr equivalent,1-2,Yes,Yes,Not Sure,Yes,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 11:24:30,2022-11-10 11:29:50,IP Address,104.55.43.155,100,320,True,2022-11-10 11:29:50,R_3shb1zUw6rt0Vhg,,,,,34.8308,-82.3507,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,Yes,No,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-10 11:27:28,2022-11-10 11:32:09,IP Address,68.185.162.131,100,280,True,2022-11-10 11:32:09,R_1Naf1eI78whP9ae,,,,,43.0684,-89.4293,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Not Sure,No,Yes,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
